#{"t_start": 1525892454.660609, "env_id": "Hopper-v1"}
r,l,t
617.599538,191,175.587911
833.328551,265,175.840713
635.560009,200,176.027006
597.466737,194,176.20679
656.80151,207,176.3998
778.489726,239,176.625754
470.162077,157,177.700899
739.487989,231,177.919058
845.248426,262,178.168788
635.068115,205,178.359652
655.490169,221,178.5687
613.098509,181,178.737341
382.43284,137,178.860397
761.892201,236,179.086484
686.003013,214,179.289709
714.563766,214,179.492664
680.187141,214,180.638748
687.677673,215,180.843734
686.863718,214,181.049349
707.307409,222,181.262715
748.68905,236,181.489879
655.616412,201,181.681304
833.045496,269,181.94353
658.161325,209,182.143866
601.583153,179,182.313727
873.0157,262,183.493543
751.917713,240,183.724464
846.205745,296,184.011723
901.427448,294,184.298157
861.854921,270,184.561127
846.74182,287,184.839272
654.27602,205,185.039445
928.336459,294,185.324924
750.288434,236,186.582157
592.537841,178,186.741131
843.590537,285,186.997463
922.862945,295,187.260376
678.885945,222,187.458567
813.035615,260,187.690319
773.27724,238,187.902038
672.758669,228,188.105198
768.826611,264,189.215368
930.769529,277,189.461283
647.234361,205,189.644441
494.697849,164,189.791674
699.095025,223,189.991606
838.24239,268,190.230764
833.17255,265,190.466474
562.520297,170,190.618195
891.273408,285,190.873123
784.507615,243,191.978001
631.383337,204,192.188323
811.702264,246,192.447293
830.076012,273,192.722054
934.767126,303,193.022729
876.163302,297,193.31571
634.834054,210,193.531828
946.190609,316,193.842372
760.062066,266,195.010991
856.172442,261,195.242712
1323.433863,429,195.622619
698.600943,225,195.823131
936.957899,292,196.083593
1008.87814,321,196.368772
851.322481,289,196.624588
602.942611,185,197.668645
801.995601,258,197.908378
887.622664,292,198.18272
930.651296,280,198.445888
1022.304763,323,198.752357
644.28333,227,198.962387
993.919716,326,199.281332
912.869371,292,200.478743
940.017726,298,200.763207
820.146165,274,201.028023
1160.575442,362,201.380792
993.442553,310,201.684916
863.96297,257,201.938289
1010.281482,307,202.241934
924.711213,290,203.465162
587.089967,225,203.68866
950.491587,291,203.977335
947.476998,292,204.263405
908.530044,292,204.523431
1150.741869,371,204.854371
971.963095,291,205.115898
877.129088,295,206.253732
981.149181,304,206.524052
1131.672805,338,206.826181
755.787386,267,207.065234
829.989957,246,207.283485
897.606976,276,207.528681
949.034312,296,207.792051
1175.662171,376,209.000816
974.909981,311,209.277347
843.935299,255,209.504733
1374.522016,438,209.894292
1045.281896,314,210.174484
1177.429552,366,210.499985
971.8081,310,211.646932
984.030211,332,211.942423
1176.061284,351,212.255328
899.525969,293,212.515057
579.695654,214,212.705012
999.359531,327,212.997736
924.753481,296,213.261303
822.541771,272,214.378002
979.063124,301,214.645359
913.844771,301,214.913972
985.989338,308,215.188389
1230.075444,382,215.528149
764.9746,251,215.751291
1693.309458,522,217.088386
743.222686,259,217.320255
1049.73212,343,217.67869
954.194282,294,217.96715
1040.620896,318,218.250185
1055.130684,348,218.564015
981.161561,307,219.712336
579.552534,184,219.876362
978.11406,312,220.156701
982.488603,297,220.419853
1134.266642,349,220.734355
487.763675,155,220.873398
971.230884,301,221.142616
947.527815,306,221.414394
686.224775,243,222.503383
1002.466206,323,222.792021
910.993423,280,223.042509
1069.820014,323,223.330446
911.073169,288,223.5856
923.450021,273,223.826819
1254.402081,403,224.18585
1218.100708,366,225.386061
961.090472,295,225.64847
749.157384,266,225.886663
1234.688435,396,226.239262
1283.944884,417,226.609839
1077.663968,328,226.902722
1424.049809,424,228.160021
1511.813445,513,228.616962
1180.367998,370,228.948016
754.523399,258,229.178017
928.100591,278,229.424945
945.990222,299,230.563893
792.691839,262,230.798562
1052.967814,328,231.091555
1163.515423,349,231.400872
1066.740886,322,231.687609
1032.651623,330,231.980977
